member_casual,day_of_week,avg_ride_length_minutes
casual,1,24.23
casual,2,20.77
casual,3,18.6
casual,4,18.16
casual,5,18.52
casual,6,20.33
casual,7,24.02
member,1,13.67
member,2,11.78
member,3,11.79
member,4,11.85
member,5,11.92
member,6,12.27
member,7,13.9
